Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles
10025,10025,,{'scopus_id': 57193652234},"{'full_name': 'Hölzel, Sara'}",{'department': nan},{'country': 'Germany'},{'university': 'Universität Bremen'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},14,59,7,0.26961,0.291098,4440.993196,0,10,0.472527,43
10026,10026,,{'scopus_id': 55173819100},"{'full_name': 'Wallys, Jens'}",{'department': nan},{'country': 'Germany'},{'university': 'Justus-Liebig-Universität Gießen'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},8,45,8,0.229761,0.243684,0,0,10,1,28
10027,10027,,{'scopus_id': 26635616000},"{'full_name': 'Pouokam, Ervice'}",{'department': nan},{'country': 'Germany'},{'university': 'Justus-Liebig-Universität Gießen'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},8,32,8,0.229761,0.243684,0,0,10,1,28
10028,10028,,{'scopus_id': 55890498400},"{'full_name': 'Müßener, Jan'}",{'department': nan},{'country': 'Germany'},{'university': 'Universität Bremen'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},8,32,8,0.229761,0.243684,0,0,10,1,28
10029,10029,,{'scopus_id': 55802324300},"{'full_name': 'Hille, Pascal'}",{'department': nan},{'country': 'Germany'},{'university': 'Universität Bremen'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},8,32,8,0.229761,0.243684,0,0,10,1,28
10030,10030,,{'scopus_id': 7005745948},"{'full_name': 'Diener, Martin'}",{'department': nan},{'country': 'Germany'},{'university': 'Justus-Liebig-Universität Gießen'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},8,32,8,0.229761,0.243684,0,0,10,1,28
10031,10031,,{'scopus_id': 7005810618},"{'full_name': 'Eickhoff, Martin'}",{'department': nan},{'country': 'Germany'},{'university': 'Universität Bremen'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},8,45,8,0.229761,0.243684,0,0,10,1,28
10035,10035,,{'scopus_id': 57201361335},"{'full_name': 'Ovsiannikova, Polina'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},9,32,8,0.226497,0.241065,427.421683,0,5,0.777778,28
10036,10036,,{'scopus_id': 56613352900},"{'full_name': 'Zakirzyanov, Ilya'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},7,45,8,0.225341,0.239134,0,0,5,1,21
10037,10037,,{'scopus_id': 57204433874},"{'full_name': 'Sidorenko, Anastasiia S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},11,48,8,0.229853,0.244492,1219.966467,0,5,0.490909,27
