Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality
7728,7728,,{'scopus_id': 57213542823},"{'full_name': 'Zhdanov, Dmitry'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},26,146,8,0.236751,0.254211,11723.308449,0,40,0.298462,97,0.047619
7822,7822,,{'scopus_id': 56801420900},"{'full_name': 'Zhdanov, A. D.'}",{'department': '[762] факультет программной инженерии и компьютерной техники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 15},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[762] факультет программной инженерии и компьютерной техники'},40,394,8,0.260467,0.283544,61695.593017,0,8,0.266667,208,0.27909
6301,6301,,{'scopus_id': 56366191100},"{'full_name': 'Kulya, M. S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},30,157,8,0.26689,0.289723,19590.774427,0,38,0.301149,131,0.105761
6312,6312,,{'scopus_id': 7005945087},"{'full_name': 'Cirlin, G. E.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},56,211,7,0.299718,0.330273,44988.286948,0,6,0.223377,344,0.395497
6356,6356,,{'scopus_id': 6603558355},"{'full_name': 'Karachinsky, L. Ya'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 14},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},57,383,8,0.286428,0.317712,18691.042975,0,8,0.37782,603,0.647332
6358,6358,,{'scopus_id': 7005325952},"{'full_name': 'Denisov, D. V.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Connector Optics LLC'},{'position': nan},{'total_pub': 14},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},61,373,8,0.291375,0.322236,30581.284827,0,8,0.32459,594,0.657521
6362,6362,,{'scopus_id': 36993639000},"{'full_name': 'Bolshakov, A. D.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},57,255,7,0.30733,0.340993,31992.203195,0,6,0.235589,376,0.466895
6370,6370,,{'scopus_id': 36573298700},"{'full_name': 'Cherevkov, S. A.'}","{'department': '[425] центр ""Информационные оптические технологии""'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[425] центр ""Информационные оптические технологии""'}",55,265,7,0.29816,0.330035,19436.426442,0,34,0.283502,421,0.511971
6386,6386,,{'scopus_id': 7004583094},"{'full_name': 'Putilin, S. E.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},38,183,8,0.285061,0.311636,41447.659184,0,39,0.226174,159,0.171499
6956,6956,,{'scopus_id': 57195619795},"{'full_name': 'Sayanskiy, A. D.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},46,191,8,0.280764,0.309569,22510.059456,0,5,0.207729,215,0.272714
