Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles,componentnumber
33,33,,{'scopus_id': 57035485600},"{'full_name': 'Reznik, R. R.'}",{'department': '[840] лаборатория однофотонных детекторов и генераторов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'младший научный сотрудник'},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[840] лаборатория однофотонных детекторов и генераторов'},63,249,7,0.297573,0.330202,27857.153437,0.287024,3,0.213006,416,0
534,534,,{'scopus_id': 56196347700},"{'full_name': 'Glybovski, S.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},53,175,7,0.286799,0.315819,46275.032283,0.116972,23,0.157475,217,0
561,561,,{'scopus_id': 55326019500},"{'full_name': 'Kopanitsa, Georgy'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},28,98,8,0.25595,0.277046,40087.852091,0.031066,6,0.150794,57,0
168,168,,{'scopus_id': 55532133600},"{'full_name': 'Mozharov, A. M.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Alferov University'},{'position': nan},{'total_pub': 13},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},65,242,6,0.324588,0.360449,40575.890696,0.471298,1,0.230769,480,0
172,172,,{'scopus_id': 13406769300},"{'full_name': 'Samusev, A. K.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 13},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},73,236,6,0.319945,0.357678,77086.66195,0.455783,1,0.187976,494,0
206,206,,{'scopus_id': 54683887600},"{'full_name': 'Filonov, D. S.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},{'university': 'Moscow Institute of Physics and Technology'},{'position': 'научный сотрудник'},{'total_pub': 13},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},35,240,7,0.287832,0.314864,12276.68647,0.156294,5,0.354622,211,0
216,216,,{'scopus_id': 7003772604},"{'full_name': 'Nikonorov, N. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},44,171,7,0.266819,0.293483,50750.211998,0.099076,37,0.225159,213,0
278,278,,{'scopus_id': 55436864100},"{'full_name': 'Milichko, Valentin A.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},51,131,6,0.304808,0.336093,96949.537204,0.151083,22,0.127059,162,0
327,327,,{'scopus_id': 57225465668},"{'full_name': 'Krasikov, Sergey'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},30,207,7,0.289321,0.315961,11138.10789,0.137754,5,0.393103,171,0
330,330,,{'scopus_id': 54685165900},"{'full_name': 'Slobozhanyuk, Alexey'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},40,209,7,0.295685,0.324505,20525.002963,0.176069,5,0.265385,207,0
