Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,eigencentrality,clustering,triangles,componentnumber,modularity_class
5270,5270,,{'scopus_id': 57203862920},"{'full_name': 'Krasnikova, Tatiana V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},12,59,8,0.231428,0.246175,4201.060686,0,0.017537,0.454545,30,0,7
5271,5271,,{'scopus_id': 57216675523},"{'full_name': 'Anokhina, Natalia A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Almazov National Medical Research Centre'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,27,9,0.215634,0.227558,0,0,0.009692,1,15,0,7
5272,5272,,{'scopus_id': 16317213100},"{'full_name': 'Shlyakhto, Evgeny V.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Almazov National Medical Research Centre'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},6,20,9,0.215634,0.227558,0,0,0.009692,1,15,0,7
5275,5275,,{'scopus_id': 57210696589},"{'full_name': 'Usoltsev, Dmitrii'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},18,87,8,0.270068,0.291847,5688.597259,0,0.150938,0.633987,97,0,27
5276,5276,,{'scopus_id': 7003349295},"{'full_name': 'Kajava, Andrey'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,15,8,0.238725,0.251349,0,0,0.014992,1,6,0,27
5278,5278,,{'scopus_id': 57205184757},"{'full_name': 'Shkuratova, Victoria'}",{'department': '[772] факультет наноэлектроники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[772] факультет наноэлектроники'},15,56,8,0.264103,0.284296,4424.443588,0,0.054227,0.295238,31,0,26
5279,5279,,{'scopus_id': 12797964300},"{'full_name': 'Yakovlev, Evgeniy'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,35,8,0.237412,0.251884,0,0,0.015053,1,10,0,29
5281,5281,,{'scopus_id': 55844954200},"{'full_name': 'Samsonov, M. A.'}",{'department': nan},{'country': 'Czech Republic'},{'university': 'Univerzita Pardubice'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Czech Republic'},{'itmo_depart_and_others': 'Czech Republic'},14,91,8,0.263496,0.284054,14889.716803,0,0.095858,0.56044,51,0,19
5282,5282,,{'scopus_id': 55773047600},"{'full_name': 'Munkhbat, B.'}",{'department': nan},{'country': 'Sweden'},{'university': 'Chalmers University of Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Sweden'},{'itmo_depart_and_others': 'Sweden'},10,51,8,0.259546,0.278877,0,0,0.091295,1,45,0,19
5283,5283,,{'scopus_id': 7003727692},"{'full_name': 'Hix, G. B.'}",{'department': nan},{'country': 'United Kingdom'},{'university': 'University of Wolverhampton'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},10,51,8,0.259546,0.278877,0,0,0.091295,1,45,0,19
