Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,clustering,triangles,eigencentrality
15295,15295,,{'scopus_id': 56585611100},"{'full_name': 'Ponomareva, I. O.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},8,28,7,0.256501,0.276723,256.148819,0.000603,0,8,0.607143,17,0.069465
15297,15297,,{'scopus_id': 57188660968},"{'full_name': 'Kosenkov, A. G.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,12,8,0.222094,0.236331,0,0.000312,0,8,1,3,0.012952
15300,15300,,{'scopus_id': 37067110600},"{'full_name': 'Ageev, E. I.'}",{'department': '[279] кафедра лазерных технологий и лазерной техники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[279] кафедра лазерных технологий и лазерной техники'},9,40,6,0.267812,0.28924,1159.766266,0.000742,0,8,0.444444,16,0.056564
15303,15303,,{'scopus_id': 55866182900},"{'full_name': 'Petrov, A. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,7,0.240718,0.254415,0,0.00043,0,4,1,6,0.010233
15304,15304,,{'scopus_id': 55504105600},"{'full_name': 'Samokhvalov, A. A.'}",{'department': '[279] кафедра лазерных технологий и лазерной техники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'ассистент'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[279] кафедра лазерных технологий и лазерной техники'},4,16,7,0.240718,0.254415,0,0.00043,0,4,1,6,0.010233
15305,15305,,{'scopus_id': 57118113100},"{'full_name': 'Tuzova, Yu V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},7,33,6,0.271785,0.297646,0,0.00052,0,18,1,21,0.055141
15307,15307,,{'scopus_id': 57117459600},"{'full_name': 'Gubaidullin, A. R.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,12,7,0.239817,0.256854,0,0.000333,0,18,1,6,0.024647
15309,15309,,{'scopus_id': 56397110500},"{'full_name': 'Il’inskaya, N. D.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},9,32,7,0.253237,0.276929,0,0.000599,0,11,1,36,0.054506
15320,15320,,{'scopus_id': 56960551500},"{'full_name': 'Alisova, I. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},7,33,7,0.259618,0.280131,0,0.000522,0,8,1,21,0.066478
15321,15321,,{'scopus_id': 55316965600},"{'full_name': 'Kundelev, E. V.'}","{'department': '[425] центр ""Информационные оптические технологии""'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[425] центр ""Информационные оптические технологии""'}",7,24,7,0.259618,0.280131,0,0.000522,0,8,1,21,0.066478
15326,15326,,{'scopus_id': 56960623900},"{'full_name': 'Dadadzhanov, D. R.'}","{'department': '[425] центр ""Информационные оптические технологии""'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[425] центр ""Информационные оптические технологии""'}",6,20,7,0.257016,0.276578,0,0.000451,0,8,1,15,0.064153
15328,15328,,{'scopus_id': 56204398400},"{'full_name': 'Kurochkina, M. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},8,40,7,0.259559,0.280536,827.272178,0.000606,0,8,0.571429,16,0.067134
15337,15337,,{'scopus_id': 57217527867},"{'full_name': 'Kukushkin, S. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,20,7,0.233935,0.250345,0,0.000433,0,20,1,10,0.016231
15341,15341,,{'scopus_id': 16239972600},"{'full_name': 'Sofronov, A. N.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},10,72,8,0.237302,0.261694,0,0.00061,0,18,1,45,0.068957
15342,15342,,{'scopus_id': 35403302800},"{'full_name': 'Firsov, D. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},10,40,8,0.237302,0.261694,0,0.00061,0,18,1,45,0.068957
15343,15343,,{'scopus_id': 7004490657},"{'full_name': 'Vorobjev, L. E.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},10,40,8,0.237302,0.261694,0,0.00061,0,18,1,45,0.068957
15344,15344,,{'scopus_id': 7004717756},"{'full_name': 'Pikhtin, N. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},10,40,8,0.237302,0.261694,0,0.00061,0,18,1,45,0.068957
15345,15345,,{'scopus_id': 7005375648},"{'full_name': 'Tarasov, I. S.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},10,40,8,0.237302,0.261694,0,0.00061,0,18,1,45,0.068957
15346,15346,,{'scopus_id': 56940990300},"{'full_name': 'Gladskikh, Polina V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,16,8,0.227838,0.244161,0,0.000477,0,20,1,10,0.011673
15356,15356,,{'scopus_id': 6506308209},"{'full_name': 'Bonchyk, A. Yu'}",{'department': nan},{'country': 'Ukraine'},{'university': 'Institute for Applied Problems in Mechanics and Mathematics(IAPMM)'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Ukraine'},{'itmo_depart_and_others': 'Ukraine'},10,57,7,0.236282,0.254345,0,0.000742,0,12,1,45,0.032729
15357,15357,,{'scopus_id': 55024136800},"{'full_name': 'Savytskyy, H. V.'}",{'department': nan},{'country': 'Ukraine'},{'university': 'Institute for Applied Problems in Mechanics and Mathematics(IAPMM)'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Ukraine'},{'itmo_depart_and_others': 'Ukraine'},10,40,7,0.236282,0.254345,0,0.000742,0,12,1,45,0.032729
15359,15359,,{'scopus_id': 7004671142},"{'full_name': 'Vukosavic, Slobodan N.'}",{'department': nan},{'country': 'Serbia'},{'university': 'University of Belgrade'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Serbia'},{'itmo_depart_and_others': 'Serbia'},5,35,7,0.222694,0.237883,0,0.000506,0,3,1,10,0.013756
