Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles
17495,17495,,{'scopus_id': 57194382837},"{'full_name': 'Morgan, F.'}",{'department': nan},{'country': 'United Kingdom'},"{'university': ""Queen's University Belfast""}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},15,56,0,7,0.279621,0.329886,0,0.341398,22,1,105
17496,17496,,{'scopus_id': 55570709600},"{'full_name': 'Pollard, R. J.'}",{'department': nan},{'country': 'United Kingdom'},"{'university': ""Queen's University Belfast""}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},15,56,0,7,0.279621,0.329886,0,0.341398,22,1,105
17497,17497,,{'scopus_id': 55006068100},"{'full_name': 'Atrashchenko, A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},15,81,0,7,0.279621,0.329886,0,0.341398,22,1,105
17498,17498,,{'scopus_id': 26536374200},"{'full_name': 'Nevet, A.'}",{'department': nan},{'country': 'Israel'},{'university': 'Technion - Israel Institute of Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Israel'},{'itmo_depart_and_others': 'Israel'},15,104,0,7,0.279621,0.329886,0,0.341398,22,1,105
17499,17499,,{'scopus_id': 23569300100},"{'full_name': 'Ankonina, G.'}",{'department': nan},{'country': 'Israel'},{'university': 'Technion - Israel Institute of Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Israel'},{'itmo_depart_and_others': 'Israel'},15,56,0,7,0.279621,0.329886,0,0.341398,22,1,105
17500,17500,,{'scopus_id': 35572398800},"{'full_name': 'Orenstein, M.'}",{'department': nan},{'country': 'Israel'},{'university': 'Technion - Israel Institute of Technology'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Israel'},{'itmo_depart_and_others': 'Israel'},15,56,0,7,0.279621,0.329886,0,0.341398,22,1,105
17501,17501,,{'scopus_id': 55615188000},"{'full_name': 'Markovich, Dmitry L.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},17,37,0,7,0.28019,0.332711,73.875752,0.349445,22,0.794118,108
17502,17502,,{'scopus_id': 14627509100},"{'full_name': 'Ladutenko, Konstantin S.'}",{'department': '[519] кафедра фотоники и оптоинформатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер-исследователь'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[519] кафедра фотоники и оптоинформатики'},3,8,0,8,0.264066,0.300597,0,0.07358,22,1,3
17503,17503,,{'scopus_id': 6603236516},"{'full_name': 'Sizikov, V. S.'}",{'department': '[103] кафедра измерительных технологий и компьютерной томографии'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[103] кафедра измерительных технологий и компьютерной томографии'},4,9,0,8,0.264235,0.301807,412,0.074275,22,0.5,3
17504,17504,,{'scopus_id': 56036256500},"{'full_name': 'Ékzemplyarov, R. A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Peter the Great St. Petersburg Polytechnic University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},1,4,0,9,0.209114,0.226817,0,0.004337,22,0,0
17505,17505,,{'scopus_id': 6603566996},"{'full_name': 'Grunin, V. K.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Sankt-Peterburgskij Gosudarstvennyj Elektrotehniceskij Universitet'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},3,9,0,7,0.237493,0.26074,0,0.013833,17,1,3
17506,17506,,{'scopus_id': 7003951067},"{'full_name': 'Shelykh, I. A.'}",{'department': nan},{'country': 'Iceland'},{'university': 'Haskoli Islands'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Iceland'},{'itmo_depart_and_others': 'Iceland'},8,24,0,7,0.279243,0.316632,3652.422745,0.047926,19,0.25,7
17507,17507,,{'scopus_id': 55247304200},"{'full_name': ""Varzhel', S. V.""}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,1,2,0.833333,0.9,0,0.004666,23,1,6
17508,17508,,{'scopus_id': 22936231300},"{'full_name': 'Zakharov, V. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},4,16,1,2,0.833333,0.9,0,0.004666,23,1,6
